행정구,행정동,행정동코드,생활인구,사망자수,중상자수,경상자수
송파구,가락1동,11710631,26012,0,67,4
강서구,가양1동,11500603,50311,0,69,16
은평구,갈현1동,11380551,23815,0,23,5
강남구,개포1동,11680660,8830,0,39,12
강서구,공항동,11500620,34201,0,9,4
광진구,광장동,11215810,35627,0,7,0
중구,광희동,11140590,23176,0,31,2
은평구,구산동,11380560,24661,0,14,3
광진구,구의1동,11215850,25869,0,30,6
광진구,군자동,11215730,19049,0,19,3
성동구,금호2.3가동,11200615,19579,0,10,0
성동구,금호1가동,11200590,15059,0,12,1
강동구,길동,11740685,56112,0,33,7
서대문구,남가좌1동,11410690,6925,0,15,1
용산구,남영동,11170530,16866,0,14,4
관악구,남현동,11620630,23505,0,14,0
서초구,내곡동,11650660,25426,0,4,1
강남구,논현1동,11680521,44019,0,139,27
광진구,능동,11215780,14936,0,10,0
영등포구,당산1동,11560550,25422,0,33,5
영등포구,당산2동,11560560,36745,0,19,1
영등포구,대림1동,11560700,16566,0,47,3
동작구,대방동,11590660,40643,0,20,4
마포구,대흥동,11440600,22159,0,18,2
영등포구,도림동,11560585,14379,0,11,3
성동구,왕십리도선동,11200535,29623,0,20,2
마포구,도화동,11440585,16878,0,9,3
성북구,돈암1동,11290580,12679,0,18,6
강동구,둔촌1동,11740690,4470,0,16,2
강서구,등촌1동,11500520,22214,0,46,9
성동구,마장동,11200540,21357,0,33,4
송파구,마천1동,11710540,12399,0,16,1
중랑구,망우3동,11260660,11913,0,45,9
마포구,망원1동,11440690,20374,0,15,3
중랑구,묵1동,11260620,25423,0,50,8
영등포구,문래동,11560605,38798,0,43,7
송파구,방이1동,11710561,17699,0,50,13
도봉구,방학1동,11320690,23594,0,51,6
용산구,보광동,11170700,10431,0,12,1
동작구,노량진2동,11590520,18209,0,9,2
종로구,부암동,11110550,14329,0,1,0
서대문구,북가좌1동,11410710,14778,0,35,5
서대문구,북아현동,11410555,37843,0,11,1
성동구,사근동,11200550,22798,0,4,1
동작구,사당1동,11590620,25856,0,62,6
종로구,사직동,11110530,24657,0,3,2
성북구,삼선동,11290555,25648,0,18,2
강남구,삼성1동,11680580,43898,0,64,16
송파구,삼전동,11710610,30645,0,21,5
동작구,상도1동,11590530,43167,0,8,2
중랑구,상봉1동,11260580,17480,0,71,12
강동구,상일동,11740520,39338,0,15,3
마포구,서교동,11440660,74251,0,54,21
성북구,석관동,11290810,26794,0,25,3
송파구,석촌동,11710600,28987,0,28,3
강동구,성내1동,11740640,23624,0,29,1
성북구,성북동,11290525,21015,0,23,2
강남구,세곡동,11680700,44886,0,10,1
성동구,송정동,11200720,10673,0,3,1
송파구,송파1동,11710580,30626,0,54,3
은평구,수색동,11380650,12325,0,7,1
종로구,숭인1동,11110700,7768,0,19,2
중랑구,신내1동,11260680,34433,0,42,11
중구,신당5동,11140650,9121,0,109,15
구로구,신도림동,11530510,32957,0,23,5
관악구,신원동,11620655,16609,0,7,0
도봉구,쌍문1동,11320660,17033,0,64,16
마포구,아현동,11440555,25447,0,14,3
성북구,안암동,11290600,22949,0,33,0
강동구,암사1동,11740570,27282,0,33,10
서초구,양재1동,11650651,53856,0,16,0
은평구,역촌동,11380625,42058,0,46,3
마포구,연남동,11440710,18810,0,12,2
마포구,염리동,11440610,10856,0,6,0
영등포구,영등포동,11560535,52908,0,10,6
영등포구,영등포본동,11560515,19106,0,64,6
송파구,오금동,11710570,36364,0,38,5
구로구,오류2동,11530780,50915,0,11,2
성동구,옥수동,11200645,27136,0,13,0
마포구,용강동,11440590,31535,0,2,0
성동구,용답동,11200790,19296,0,11,0
용산구,용문동,11170590,8373,0,5,1
용산구,용산2가동,11170520,12028,0,11,0
강서구,우장산동,11500615,32164,0,23,3
용산구,원효로1동,11170560,20859,0,15,4
노원구,월계1동,11350560,21766,0,47,7
중구,을지로동,11140605,18213,0,19,12
성동구,응봉동,11200580,10736,0,1,0
은평구,응암1동,11380580,23907,0,34,5
용산구,이촌1동,11170630,25928,0,15,1
용산구,이태원1동,11170650,13442,0,37,5
관악구,인헌동,11620625,24971,0,4,0
광진구,자양1동,11215820,24247,0,46,6
중구,장충동,11140580,12143,0,10,2
종로구,종로1.2.3.4가동,11110615,62157,0,30,3
성북구,종암동,11290705,36442,0,43,4
광진구,중곡1동,11215740,15042,0,52,9
중구,중림동,11140680,9451,0,2,0
중랑구,중화1동,11260600,16755,0,60,5
은평구,증산동,11380640,14971,0,8,1
동대문구,청량리동,11230705,18344,0,29,7
종로구,청운효자동,11110515,17143,0,19,3
서대문구,충현동,11410565,40110,0,12,0
종로구,평창동,11110560,17452,0,21,2
송파구,풍납1동,11710510,15392,0,24,2
중구,필동,11140570,11329,0,4,1
노원구,하계1동,11350611,25475,0,35,2
마포구,합정동,11440680,23209,0,7,0
종로구,혜화동,11110650,29878,0,5,1
광진구,화양동,11215710,38766,0,25,1
중구,황학동,11140670,13221,0,17,1
동대문구,회기동,11230710,19814,0,17,3
용산구,효창동,11170580,9591,0,6,1
용산구,후암동,11170510,13480,0,7,1
송파구,가락2동,11710632,25983,0,2,0
송파구,가락본동,11710620,38446,0,5,0
종로구,가회동,11110600,7131,0,1,0
은평구,갈현2동,11380552,22612,0,3,0
구로구,개봉3동,11530760,17136,0,1,0
강남구,개포2동,11680670,24976,0,7,0
강남구,개포4동,11680690,16024,0,1,0
송파구,거여2동,11710532,19087,0,1,0
강동구,고덕2동,11740560,20635,0,2,0
구로구,고척2동,11530730,17097,0,2,0
노원구,공릉2동,11350600,42777,0,4,0
종로구,교남동,11110580,7143,0,7,2
성북구,길음2동,11290685,19143,0,2,0
관악구,낙성대동,11620585,23085,0,3,0
관악구,난곡동,11620775,17799,0,1,0
관악구,난향동,11620715,10339,0,2,1
강남구,논현2동,11680531,44600,0,3,1
중구,다산동,11140625,14575,0,1,0
동대문구,답십리2동,11230610,21887,0,1,0
영등포구,대림2동,11560710,18937,0,2,0
영등포구,대림3동,11560720,25170,0,2,0
강남구,대치2동,11680610,50253,0,1,0
강남구,대치4동,11680630,41336,0,1,0
관악구,대학동,11620735,31972,0,1,0
도봉구,도봉2동,11320522,19278,0,3,0
성북구,돈암2동,11290590,13619,0,3,1
중구,동화동,11140665,9872,0,3,0
강동구,둔촌2동,11740700,27077,0,2,0
강서구,등촌2동,11500530,15977,0,5,0
강서구,등촌3동,11500535,39672,0,1,0
송파구,마천2동,11710550,14905,0,3,3
중랑구,망우본동,11260655,38742,0,1,0
마포구,망원2동,11440700,16684,0,2,0
중랑구,면목3.8동,11260575,19596,0,1,0
중랑구,면목4동,11260540,17166,0,2,0
중랑구,면목5동,11260550,11044,0,1,0
중랑구,면목7동,11260570,18893,0,1,0
중랑구,면목본동,11260565,26543,0,1,0
강동구,명일2동,11740540,15906,0,3,0
양천구,목2동,11470520,22630,0,2,0
양천구,목3동,11470530,17257,0,3,0
양천구,목4동,11470540,18170,0,3,0
양천구,목5동,11470550,37837,0,1,0
종로구,무악동,11110570,6890,0,1,0
중랑구,묵2동,11260630,18842,0,1,0
송파구,문정2동,11710642,40784,0,1,0
관악구,미성동,11620765,20871,0,4,0
서초구,반포2동,11650570,16650,0,1,0
서초구,반포3동,11650580,23141,0,3,0
서초구,반포4동,11650581,43288,0,2,1
서초구,반포본동,11650550,2956,0,5,1
강서구,발산1동,11500611,35295,0,3,0
서초구,방배2동,11650610,20683,0,1,0
종로구,삼청동,11110540,5117,0,2,0
노원구,상계1동,11350630,36745,0,6,0
노원구,상계2동,11350640,29745,0,1,0
성동구,성수1가2동,11200660,19903,0,1,0
성동구,성수2가3동,11200690,34229,0,5,1
관악구,성현동,11620565,22292,0,3,1
중구,소공동,11140520,29429,0,2,0
강북구,송천동,11305555,26686,0,1,0
강동구,강일동,11740515,51629,1,8,4
송파구,거여1동,11710531,12424,1,18,1
강동구,고덕1동,11740550,24378,1,10,4
구로구,고척1동,11530720,21995,1,28,7
마포구,공덕동,11440565,39172,1,21,2
노원구,공릉1동,11350595,42609,1,78,14
성동구,금호4가동,11200620,12502,1,9,0
동작구,노량진1동,11590510,35625,1,41,6
은평구,녹번동,11380510,33717,1,27,10
은평구,대조동,11380570,40579,1,19,5
강남구,도곡1동,11680655,35752,1,40,9
성북구,동선동,11290575,24597,1,22,3
강동구,명일1동,11740530,26471,1,29,2
양천구,목1동,11470510,47161,1,55,6
송파구,문정1동,11710641,20702,1,38,9
강북구,미아동,11305535,22843,1,135,31
서초구,반포1동,11650560,32991,1,60,12
서초구,방배1동,11650600,20350,1,66,9
강서구,방화1동,11500630,32242,1,32,3
성북구,보문동,11290610,15848,1,19,6
은평구,불광1동,11380520,29139,1,24,18
동작구,상도2동,11590540,22042,1,88,18
용산구,서빙고동,11170690,15513,1,23,5
성동구,성수1가1동,11200650,19100,1,51,9
성동구,성수2가1동,11200670,19924,1,36,2
강남구,수서동,11680750,23720,1,19,1
강북구,수유1동,11305610,17275,1,124,26
영등포구,신길1동,11560630,17441,1,78,15
강남구,신사동,11680510,37805,1,70,7
서대문구,신촌동,11410585,54462,1,27,2
강남구,압구정동,11680545,44405,1,8,1
서초구,양재2동,11650652,38177,1,48,4
영등포구,여의동,11560540,93805,1,65,17
서대문구,연희동,11410615,35821,1,33,2
구로구,오류1동,11530770,14712,1,50,10
성동구,왕십리2동,11200520,14701,1,15,3
강북구,우이동,11305645,19350,1,5,0
용산구,원효로2동,11170570,15302,1,5,0
성북구,월곡1동,11290715,24836,1,7,0
성북구,월곡2동,11290725,22549,1,44,3
강남구,일원1동,11680730,15710,1,18,0
송파구,잠실4동,11710690,20122,1,38,10
서초구,잠원동,11650540,33623,1,24,5
송파구,장지동,11710646,34212,1,27,2
성북구,정릉1동,11290620,13843,1,44,1
동대문구,제기동,11230545,32853,1,54,6
종로구,창신1동,11110670,8272,1,17,4
강동구,천호1동,11740600,29749,1,83,9
용산구,청파동,11170555,21959,1,19,2
서대문구,홍제1동,11410620,22770,1,23,6
강서구,화곡1동,11500540,48586,1,150,28
동대문구,휘경1동,11230720,16572,1,30,2
동작구,흑석동,11590605,31408,1,16,2
강서구,가양3동,11500605,10333,1,2,0
구로구,개봉2동,11530750,22180,1,0,0
서대문구,남가좌2동,11410700,18211,1,2,0
강북구,송중동,11305545,34668,1,9,0
강서구,가양2동,11500604,14565,2,54,15
성북구,길음1동,11290660,34428,2,22,2
동대문구,답십리1동,11230600,23378,2,81,7
도봉구,도봉1동,11320521,18577,2,37,4
관악구,행운동,11620575,23076,2,211,34
노원구,상계10동,11350720,13356,2,137,35
마포구,상암동,11440740,47615,2,19,4
서초구,서초1동,11650510,30732,2,115,8
금천구,시흥1동,11545670,27398,2,65,14
동작구,신대방1동,11590670,16715,2,40,11
마포구,신수동,11440630,17843,2,12,2
양천구,신월1동,11470560,14793,2,78,15
동대문구,용신동,11230536,40981,2,88,6
동대문구,이문1동,11230740,22796,2,40,3
송파구,잠실2동,11710670,33590,2,77,14
동대문구,전농1동,11230560,29657,2,54,6
노원구,중계1동,11350621,25816,2,46,3
도봉구,창1동,11320511,22343,2,59,13
서대문구,천연동,11410520,15977,2,14,3
용산구,한강로동,11170625,51779,2,41,5
성동구,행당1동,11200560,19405,2,42,7
서대문구,홍은1동,11410660,14373,2,27,3
서초구,방배3동,11650620,17532,2,5,3
구로구,가리봉동,11530595,11309,3,17,3
강남구,대치1동,11680600,28354,3,94,7
중랑구,면목2동,11260520,20621,3,154,26
중구,명동,11140550,37115,3,26,4
마포구,성산1동,11440720,21778,3,24,5
양천구,신정1동,11470620,18302,3,98,15
영등포구,양평1동,11560610,19063,3,49,7
동대문구,장안1동,11230650,34611,3,103,8
종로구,종로5.6가동,11110630,16822,3,21,4
강남구,청담동,11680565,43384,3,44,4
용산구,한남동,11170685,31377,3,41,3
금천구,가산동,11545510,60073,4,37,11
구로구,개봉1동,11530740,28724,4,67,9
금천구,독산1동,11545610,34226,4,127,32
강북구,번1동,11305590,17591,4,56,10
강남구,역삼1동,11680640,109277,4,133,23
강서구,염창동,11500510,30781,4,16,5
은평구,진관동,11380690,62844,4,20,0
구로구,구로1동,11530520,16938,5,117,23
관악구,신림동,11620695,30427,5,237,48
성북구,장위1동,11290760,20724,6,37,8
구로구,구로2동,11530530,33443,0,0,0
구로구,구로3동,11530540,41354,0,0,0
구로구,구로4동,11530550,18240,0,0,0
구로구,구로5동,11530560,32551,0,0,0
광진구,구의2동,11215860,21286,0,0,0
광진구,구의3동,11215870,29252,0,0,0
강남구,도곡2동,11680656,29859,0,0,0
금천구,독산2동,11545620,14101,0,0,0
금천구,독산3동,11545630,22045,0,0,0
금천구,독산4동,11545640,11454,0,0,0
서초구,방배4동,11650621,27254,0,0,0
서초구,방배본동,11650590,18349,0,0,0
송파구,방이2동,11710562,36414,0,0,0
도봉구,방학2동,11320700,11695,0,0,0
도봉구,방학3동,11320710,19909,0,0,0
강서구,방화2동,11500640,25797,0,0,0
강서구,방화3동,11500641,16971,0,0,0
강북구,번2동,11305600,12961,0,0,0
강북구,번3동,11305606,14642,0,0,0
관악구,보라매동,11620525,16359,0,0,0
서대문구,북가좌2동,11410720,36300,0,0,0
은평구,불광2동,11380530,21400,0,0,0
동작구,사당2동,11590630,31559,0,0,0
동작구,사당3동,11590640,20724,0,0,0
동작구,사당4동,11590650,11757,0,0,0
동작구,사당5동,11590651,10798,0,0,0
강북구,삼각산동,11305575,21404,0,0,0
강남구,삼성2동,11680590,40380,0,0,0
관악구,삼성동,11620745,19843,0,0,0
강북구,삼양동,11305534,22650,0,0,0
노원구,상계3.4동,11350665,20295,0,0,0
노원구,상계5동,11350670,18249,0,0,0
노원구,상계6.7동,11350695,47244,0,0,0
노원구,상계8동,11350700,17615,0,0,0
노원구,상계9동,11350710,18628,0,0,0
동작구,상도3동,11590550,18251,0,0,0
동작구,상도4동,11590560,21391,0,0,0
중랑구,상봉2동,11260590,26250,0,0,0
마포구,서강동,11440655,26302,0,0,0
관악구,서림동,11620665,16334,0,0,0
관악구,서원동,11620645,22592,0,0,0
서초구,서초2동,11650520,46454,0,0,0
서초구,서초3동,11650530,64569,0,0,0
서초구,서초4동,11650531,43755,0,0,0
강동구,성내2동,11740650,24565,0,0,0
강동구,성내3동,11740660,26372,0,0,0
마포구,성산2동,11440730,35582,0,0,0
송파구,송파2동,11710590,18905,0,0,0
구로구,수궁동,11530790,22064,0,0,0
강북구,수유2동,11305620,18019,0,0,0
강북구,수유3동,11305630,27965,0,0,0
종로구,숭인2동,11110710,12799,0,0,0
금천구,시흥2동,11545680,15241,0,0,0
금천구,시흥3동,11545690,10169,0,0,0
금천구,시흥4동,11545700,11811,0,0,0
금천구,시흥5동,11545710,11655,0,0,0
영등포구,신길3동,11560650,12770,0,0,0
영등포구,신길4동,11560660,7530,0,0,0
영등포구,신길5동,11560670,11004,0,0,0
영등포구,신길6동,11560680,21594,0,0,0
영등포구,신길7동,11560690,13148,0,0,0
중랑구,신내2동,11260690,17140,0,0,0
중구,신당동,11140615,22035,0,0,0
동작구,신대방2동,11590680,25210,0,0,0
은평구,신사1동,11380631,23723,0,0,0
은평구,신사2동,11380632,12806,0,0,0
관악구,신사동,11620685,20920,0,0,0
양천구,신월2동,11470570,14165,0,0,0
양천구,신월3동,11470580,13417,0,0,0
양천구,신월4동,11470590,11414,0,0,0
양천구,신월5동,11470600,8269,0,0,0
양천구,신월6동,11470610,4070,0,0,0
양천구,신월7동,11470611,16065,0,0,0
양천구,신정2동,11470630,13685,0,0,0
양천구,신정3동,11470640,42195,0,0,0
양천구,신정4동,11470650,32473,0,0,0
양천구,신정6동,11470670,18486,0,0,0
양천구,신정7동,11470680,20687,0,0,0
도봉구,쌍문2동,11320670,17291,0,0,0
도봉구,쌍문3동,11320680,15664,0,0,0
도봉구,쌍문4동,11320681,13752,0,0,0
강동구,암사2동,11740580,15146,0,0,0
강동구,암사3동,11740590,13210,0,0,0
중구,약수동,11140635,14531,0,0,0
영등포구,양평2동,11560620,28489,0,0,0
강남구,역삼2동,11680650,54676,0,0,0
송파구,오륜동,11710566,17494,0,0,0
노원구,월계2동,11350570,19077,0,0,0
노원구,월계3동,11350580,24852,0,0,0
송파구,위례동,11710647,42702,0,0,0
관악구,은천동,11620605,28809,0,0,0
은평구,응암2동,11380590,14835,0,0,0
은평구,응암3동,11380600,23698,0,0,0
동대문구,이문2동,11230750,14771,0,0,0
용산구,이촌2동,11170640,6978,0,0,0
용산구,이태원2동,11170660,10853,0,0,0
종로구,이화동,11110640,23777,0,0,0
강북구,인수동,11305660,28270,0,0,0
강남구,일원2동,11680740,16432,0,0,0
강남구,일원본동,11680720,24822,0,0,0
광진구,자양2동,11215830,20535,0,0,0
광진구,자양3동,11215840,23814,0,0,0
광진구,자양4동,11215847,26126,0,0,0
송파구,잠실3동,11710680,47399,0,0,0
송파구,잠실6동,11710710,42244,0,0,0
송파구,잠실7동,11710720,10299,0,0,0
송파구,잠실본동,11710650,34362,0,0,0
동대문구,장안2동,11230660,27277,0,0,0
성북구,장위2동,11290770,11821,0,0,0
성북구,장위3동,11290780,7242,0,0,0
동대문구,전농2동,11230570,16018,0,0,0
성북구,정릉2동,11290630,19638,0,0,0
성북구,정릉3동,11290640,14690,0,0,0
성북구,정릉4동,11290650,17963,0,0,0
관악구,조원동,11620725,27902,0,0,0
노원구,중계2.3동,11350625,33221,0,0,0
노원구,중계4동,11350624,15909,0,0,0
노원구,중계본동,11350619,20543,0,0,0
광진구,중곡2동,11215750,18481,0,0,0
광진구,중곡3동,11215760,15287,0,0,0
광진구,중곡4동,11215770,24067,0,0,0
관악구,중앙동,11620615,15531,0,0,0
중랑구,중화2동,11260610,24183,0,0,0
도봉구,창2동,11320512,28293,0,0,0
도봉구,창3동,11320513,10495,0,0,0
도봉구,창4동,11320514,28551,0,0,0
도봉구,창5동,11320515,19323,0,0,0
종로구,창신2동,11110680,9841,0,0,0
종로구,창신3동,11110690,4867,0,0,0
강동구,천호2동,11740610,44371,0,0,0
강동구,천호3동,11740620,27989,0,0,0
중구,청구동,11140645,11835,0,0,0
관악구,청룡동,11620595,38558,0,0,0
관악구,청림동,11620545,10527,0,0,0
송파구,풍납2동,11710520,35924,0,0,0
노원구,하계2동,11350612,14929,0,0,0
성동구,행당2동,11200570,19505,0,0,0
서대문구,홍은2동,11410685,23583,0,0,0
서대문구,홍제2동,11410655,10635,0,0,0
서대문구,홍제3동,11410640,15499,0,0,0
강서구,화곡2동,11500550,13082,0,0,0
강서구,화곡3동,11500560,19864,0,0,0
강서구,화곡4동,11500570,16995,0,0,0
강서구,화곡6동,11500591,20373,0,0,0
강서구,화곡8동,11500593,26527,0,0,0
강서구,화곡본동,11500590,28260,0,0,0
중구,회현동,11140540,25595,0,0,0
동대문구,휘경2동,11230730,19956,0,0,0
